Fecha de la actividad,Tipo de actividad,Distancia,Distancia.1,Tiempo en movimiento,Tiempo transcurrido,Tiempo transcurrido.1,Desnivel positivo,Ritmo cardiaco promedio,Velocidad promedio
"5 abr 2021, 21:41:13",Bicicleta,"14,13",14131.3,4618.0,14294,14294.0,139.5,,3.06
"28 mar 2021, 23:15:53",Caminata,"2,78",2785.8,2597.0,2702,2702.0,35.3,,1.073
"26 mar 2021, 22:45:43",Bicicleta,"9,78",9779.6,2410.0,2804,2804.0,223.0,,4.058
"17 mar 2021, 21:41:19",Bicicleta,"5,66",5665.5,1924.0,13799,13799.0,62.8,,2.945
"16 mar 2021, 22:04:53",Bicicleta,"60,18",60182.1,9537.0,11411,11411.0,700.4,,6.31
"15 mar 2021, 23:07:25",Bicicleta,"12,48",12483.9,3780.0,12514,12514.0,107.6,,3.303
"15 mar 2021, 21:34:03",Carrera,"1,58",1582.4,656.0,4376,4376.0,0.0,,2.412
"14 mar 2021, 13:59:17",Bicicleta,"43,48",43488.5,14525.0,28439,28439.0,445.8,,2.994
"12 mar 2021, 23:40:08",Bicicleta,"8,00",8008.1,2660.0,9506,9506.0,83.4,,3.011
"11 mar 2021, 23:46:13",Bicicleta,"2,65",2656.8,1244.0,5820,5820.0,16.2,,2.136
"10 mar 2021, 21:47:18",Bicicleta,"8,52",8520.8,3310.0,18433,18433.0,93.0,,2.574
"9 mar 2021, 23:10:41",Bicicleta,"63,83",63831.7,10681.0,11192,11192.0,617.3,,5.976
"9 mar 2021, 22:18:52",Bicicleta,"2,51",2516.0,654.0,3098,3098.0,18.9,,3.847
"8 mar 2021, 23:19:27",Bicicleta,"6,50",6504.9,2150.0,7477,7477.0,73.1,,3.026
"6 mar 2021, 11:24:16",Bicicleta,"37,52",37525.8,11714.0,24055,24055.0,423.2,,3.204
"5 mar 2021, 23:40:22",Bicicleta,"2,57",2575.3,1389.0,6157,6157.0,17.7,,1.854
"4 mar 2021, 23:45:32",Bicicleta,"2,37",2374.2,1036.0,5197,5197.0,13.9,,2.292
"2 mar 2021, 1:08:56",Bicicleta,"2,82",2823.5,1946.0,2707,2707.0,35.1,,1.451
"27 feb 2021, 17:00:25",Bicicleta,"3,26",3266.4,1481.0,2176,2176.0,42.6,,2.206
"27 feb 2021, 14:12:23",Carrera,"0,41",414.8,118.0,118,118.0,7.6,,3.515
"26 feb 2021, 23:43:16",Bicicleta,"2,85",2853.0,1440.0,7317,7317.0,25.1,,1.981
"26 feb 2021, 21:35:47",Carrera,"1,35",1353.8,662.0,5061,5061.0,0.0,,2.045
"25 feb 2021, 23:33:21",Bicicleta,"3,87",3878.4,1174.0,6309,6309.0,55.9,,3.304
"24 feb 2021, 21:37:17",Bicicleta,"5,81",5810.0,1912.0,13824,13824.0,71.0,,3.039
"23 feb 2021, 20:59:59",Bicicleta,"27,11",27114.1,9155.0,13913,13913.0,273.4,,2.962
"20 feb 2021, 11:36:34",Bicicleta,"75,21",75214.6,12758.0,16940,16940.0,1130.8,,5.895
"19 feb 2021, 23:48:42",Bicicleta,"2,28",2285.6,1183.0,6036,6036.0,17.8,,1.932
"19 feb 2021, 21:17:36",Bicicleta,"11,77",11776.1,4437.0,6652,6652.0,147.9,,2.654
"19 feb 2021, 14:42:33",Bicicleta,"7,55",7557.2,2096.0,2864,2864.0,114.6,,3.606
"17 feb 2021, 21:07:08",Bicicleta,"6,42",6425.6,2229.0,15477,15477.0,69.8,,2.883
